NLP;ML;Balancing;Metric;Value;Percentage
TF-IDF;NN;NearMiss;Accuracy;0,762530414;76,253
TF-IDF;NN;NearMiss;F1-Score;0,687580026;68,758
TF-IDF;NN;NearMiss;MCC;0,572530809;57,253
TF-IDF;NN;OneSidedSelection;Accuracy;0,986233669;98,623
TF-IDF;NN;OneSidedSelection;F1-Score;0,326468345;32,647
TF-IDF;NN;OneSidedSelection;MCC;0,38206273;38,206
TF-IDF;NN;Oversampler;Accuracy;0,937453462;93,745
TF-IDF;NN;Oversampler;F1-Score;0,940029165;94,003
TF-IDF;NN;Oversampler;MCC;0,878794153;87,879
TF-IDF;NN;SMOTE;Accuracy;0,940661586;94,066
TF-IDF;NN;SMOTE;F1-Score;0,942940061;94,294
TF-IDF;NN;SMOTE;MCC;0,884746999;88,475
Doc2Vec;KNN;Undersampler;Accuracy;0,868126521;86,813
Doc2Vec;KNN;Undersampler;F1-Score;0,870148539;87,015
Doc2Vec;KNN;Undersampler;MCC;0,739909092;73,991
Doc2Vec;KNN;NearMiss;Accuracy;0,947931873;94,793
Doc2Vec;KNN;NearMiss;F1-Score;0,943296237;94,330
Doc2Vec;KNN;NearMiss;MCC;0,900189185;90,019
Doc2Vec;KNN;OneSidedSelection;Accuracy;0,989803259;98,980
Doc2Vec;KNN;OneSidedSelection;F1-Score;0,564753004;56,475
Doc2Vec;KNN;OneSidedSelection;MCC;0,607725047;60,773
Doc2Vec;KNN;Oversampler;Accuracy;0,988727999;98,873
Doc2Vec;KNN;Oversampler;F1-Score;0,98881175;98,881
Doc2Vec;KNN;Oversampler;MCC;0,977706045;97,771
Doc2Vec;KNN;SMOTE;Accuracy;0,93198777;93,199
Doc2Vec;KNN;SMOTE;F1-Score;0,936092296;93,609
Doc2Vec;KNN;SMOTE;MCC;0,872141602;87,214
Doc2Vec;DT;Undersampler;Accuracy;0,746958637;74,696
Doc2Vec;DT;Undersampler;F1-Score;0,74484789;74,485
Doc2Vec;DT;Undersampler;MCC;0,494631628;49,463
Doc2Vec;DT;NearMiss;Accuracy;0,970316302;97,032
Doc2Vec;DT;NearMiss;F1-Score;0,969269521;96,927
Doc2Vec;DT;NearMiss;MCC;0,940586207;94,059
Doc2Vec;DT;OneSidedSelection;Accuracy;0,977729818;97,773
Doc2Vec;DT;OneSidedSelection;F1-Score;0,343173432;34,317
Doc2Vec;DT;OneSidedSelection;MCC;0,332206072;33,221
Doc2Vec;DT;Oversampler;Accuracy;0,99351246;99,351
Doc2Vec;DT;Oversampler;F1-Score;0,993529937;99,353
Doc2Vec;DT;Oversampler;MCC;0,987108461;98,711
Doc2Vec;DT;SMOTE;Accuracy;0,962714469;96,271
Doc2Vec;DT;SMOTE;F1-Score;0,96308959;96,309
Doc2Vec;DT;SMOTE;MCC;0,925796043;92,580
Doc2Vec;RF;Undersampler;Accuracy;0,892944039;89,294
Doc2Vec;RF;Undersampler;F1-Score;0,884937238;88,494
Doc2Vec;RF;Undersampler;MCC;0,787580199;78,758
Doc2Vec;RF;NearMiss;Accuracy;0,989781022;98,978
Doc2Vec;RF;NearMiss;F1-Score;0,989505247;98,951
Doc2Vec;RF;NearMiss;MCC;0,979585943;97,959
Doc2Vec;RF;OneSidedSelection;Accuracy;0,986675425;98,668
Doc2Vec;RF;OneSidedSelection;F1-Score;0,303921569;30,392
Doc2Vec;RF;OneSidedSelection;MCC;0,418571393;41,857
Doc2Vec;RF;Oversampler;Accuracy;0,999968315;99,997
Doc2Vec;RF;Oversampler;F1-Score;0,999968195;99,997
Doc2Vec;RF;Oversampler;MCC;0,999936631;99,994
Doc2Vec;RF;SMOTE;Accuracy;0,997940464;99,794
Doc2Vec;RF;SMOTE;F1-Score;0,997932208;99,793
Doc2Vec;RF;SMOTE;MCC;0,995880946;99,588
Doc2Vec;LR;Undersampler;Accuracy;0,870559611;87,056
Doc2Vec;LR;Undersampler;F1-Score;0,86;86,000
Doc2Vec;LR;Undersampler;MCC;0,743168923;74,317
Doc2Vec;LR;NearMiss;Accuracy;0,977128954;97,713
Doc2Vec;LR;NearMiss;F1-Score;0,976081425;97,608
Doc2Vec;LR;NearMiss;MCC;0,954508683;95,451
Doc2Vec;LR;OneSidedSelection;Accuracy;0,987660693;98,766
Doc2Vec;LR;OneSidedSelection;F1-Score;0,417712177;41,771
Doc2Vec;LR;OneSidedSelection;MCC;0,488471668;48,847
Doc2Vec;LR;Oversampler;Accuracy;0,897989576;89,799
Doc2Vec;LR;Oversampler;F1-Score;0,895181507;89,518
Doc2Vec;LR;Oversampler;MCC;0,796784694;79,678
Doc2Vec;LR;SMOTE;Accuracy;0,906409911;90,641
Doc2Vec;LR;SMOTE;F1-Score;0,904550706;90,455
Doc2Vec;LR;SMOTE;MCC;0,813195583;81,320
Doc2Vec;SVM;Undersampler;Accuracy;0,881265207;88,127
Doc2Vec;SVM;Undersampler;F1-Score;0,870212766;87,021
Doc2Vec;SVM;Undersampler;MCC;0,766113671;76,611
Doc2Vec;SVM;NearMiss;Accuracy;0,98296837;98,297
Doc2Vec;SVM;NearMiss;F1-Score;0,982367758;98,237
Doc2Vec;SVM;NearMiss;MCC;0,965920033;96,592
Doc2Vec;SVM;OneSidedSelection;Accuracy;0,988286259;98,829
Doc2Vec;SVM;OneSidedSelection;F1-Score;0,457639392;45,764
Doc2Vec;SVM;OneSidedSelection;MCC;0,524890231;52,489
Doc2Vec;SVM;Oversampler;Accuracy;0,903447347;90,345
Doc2Vec;SVM;Oversampler;F1-Score;0,899569076;89,957
Doc2Vec;SVM;Oversampler;MCC;0,808806825;80,881
Doc2Vec;SVM;SMOTE;Accuracy;0,914901538;91,490
Doc2Vec;SVM;SMOTE;F1-Score;0,912759962;91,276
Doc2Vec;SVM;SMOTE;MCC;0,830490391;83,049
Doc2Vec;NN;Undersampler;Accuracy;0,900243309;90,024
Doc2Vec;NN;Undersampler;F1-Score;0,897857499;89,786
Doc2Vec;NN;Undersampler;MCC;0,800473735;80,047
Doc2Vec;NN;NearMiss;Accuracy;0,97810219;97,810
